CAND_ELECTION_YR,CAND_OFFICE,CAND_OFFICE_DISTRICT,CAND_PTY_AFFILIATION,CAND_NAME,CONTRIB_TYPE,CONTRIB_AMT
1994,House,26,Republican,Armey,Other,294136
1994,House,26,Republican,Caton,Individual,0
1994,House,26,Republican,Caton,Other,267
1994,House,27,Democratic,Ortiz,Individual,153490
1994,House,27,Democratic,Ortiz,Other,151287
1994,House,27,Republican,Stone,Individual,41252
1994,House,27,Republican,Stone,Other,9400
1994,House,28,Democratic,Tejeda,Individual,85987
1994,House,28,Democratic,Tejeda,Other,139985
1994,House,29,Democratic,Green,Individual,156323
1994,House,29,Democratic,Green,Other,458321
1994,House,29,Democratic,Reyes,Individual,210158
1994,House,29,Democratic,Reyes,Other,50045
1994,House,29,Republican,Eide,Individual,4986
1994,House,29,Republican,Eide,Other,4585
1994,House,30,Democratic,Johnson,Individual,129440
1994,House,30,Democratic,Johnson,Other,157046
1994,House,30,Republican,Cain,Individual,1060
