County,ToPerc2002,ToPerc2004,ToPerc2006,ToPerc2008,ToPerc2010,ToPerc2012,ToPerc2014,ToPerc2016,ToPerc2018
Kenedy,0.321808511,0.504297994,0.501432665,0.575070822,0.582633053,0.477777778,0.361271676,0.58490566,0.676567657
Kent,0.569920844,0.670103093,0.40472879,0.666174298,0.482428115,0.660685155,0.502454992,0.705691057,0.594127807
Kerr,0.43312891,0.643581693,0.650179258,0.656776823,0.492289336,0.68622777,0.457513937,0.672565605,0.624736354
Kimble,0.391289669,0.622298456,0.622743431,0.623188406,0.445518161,0.652413793,0.42787626,0.678326475,0.596187175
King,0.577272727,0.517359768,0.457446809,0.806930693,0.615384615,0.801104972,0.505376344,0.787128713,0.715846995
Kinney,0.478534856,0.639502208,0.647460931,0.655419654,0.57990674,0.614655172,0.528104575,0.637577916,0.537533512
Kleberg,0.34615794,0.499019263,0.266666667,0.524046347,0.313596978,0.545086181,0.333065211,0.537453495,0.48089701
Knox,0.455060156,0.406884402,0.358708649,0.543942993,0.37887931,0.667255855,0.379426644,0.559328969,0.453680728
La Salle,0.38071066,0.529558324,0.480260841,0.430963358,0.211476626,0.423544304,0.211707317,0.505755396,0.351319785
Lamar,0.35405271,0.574221815,0.38961563,0.584539692,0.411807055,0.615094608,0.610850559,0.60660651,0.529078826
Lamb,0.366120219,0.454632181,0.314711559,0.494913029,0.321026723,0.494467164,0.254868959,0.482114898,0.432157058
Lampasas,0.437465615,0.597462318,0.592798956,0.588135593,0.388511668,0.584031267,0.358954768,0.610256782,0.54245283
Lavaca,0.46684628,0.58875634,0.602261956,0.615767573,0.486013722,0.650909656,0.385347651,0.658646957,0.591078633
Lee,0.521277836,0.690283631,0.483762598,0.672455531,0.45242351,0.666595449,0.433880113,0.637070138,0.563559322
Leon,0.432858827,0.613693694,0.378430513,0.617659967,0.463556046,0.650649715,0.392742306,0.67024897,0.596694066
Liberty,0.299752384,0.460127103,0.319164482,0.476763102,0.370797619,0.545903703,0.298943986,0.559967028,0.471570459
Limestone,0.392880637,0.549611856,0.385780722,0.536508603,0.399799384,0.580376099,0.321700224,0.572976138,0.512297496
Lipscomb,0.499484536,0.443745343,0.388006151,0.642674834,0.456589958,0.626379401,0.448258455,0.661455789,0.545820745
Llano,0.544332211,0.696879536,0.681001922,0.665124309,0.531542473,0.697518878,0.494045146,0.70146496,0.658591297
Madison,0.357491389,0.564014788,0.418677264,0.591952394,0.497101676,0.62170088,0.352483801,0.435536209,0.518588617
Marion,0.343741695,0.561353139,0.287209159,0.565859345,0.380692931,0.62743135,0.61229616,0.59716097,0.487927977
Mason,0.494074074,0.732590529,0.724622956,0.716655383,0.508208173,0.693502825,0.477866853,0.696488859,0.66802444
Matagorda,0.394497937,0.382227448,0.36995696,0.38848061,0.407004259,0.584530229,0.33541617,0.575114652,0.493962474
Maverick,0.266832504,0.398266842,0.401747196,0.40522755,0.265273669,0.383496726,0.185892777,0.443313432,0.343896601
McCulloch,0.381900452,0.581883408,0.575981372,0.570079335,0.407848497,0.596267191,0.33530987,0.598978047,0.521630456
McLennan,0.412875738,0.591667595,0.395235218,0.592254922,0.430447513,0.601256381,0.344585987,0.591878426,0.545347917
McMullen,0.593655589,0.818313953,0.782592304,0.746870654,0.429740791,0.793939394,0.377492877,0.70480226,0.702432046
Medina,0.40971867,0.611020141,0.601210006,0.591399872,0.418910718,0.605051838,0.346453926,0.571673424,0.517890832
Menard,0.546892039,0.63163597,0.598193052,0.564750134,0.346830986,0.54269802,0.316612378,0.580645161,0.553221289
Milam,0.414227885,0.601192493,0.387138927,0.582713691,0.419302912,0.59374115,0.349632404,0.595255795,0.538940185
Mills,0.52116235,0.662275449,0.653898371,0.645521292,0.503795931,0.657415697,0.403430938,0.653007847,0.590456674
Mitchell,0.350402341,0.480737018,0.494338421,0.507939824,0.345767888,0.5165666,0.270276195,0.493991989,0.424569916
Montague,0.389096697,0.404834857,0.420573017,0.613117002,0.429776831,0.618580359,0.527165932,0.654374765,0.555292376
Montgomery,0.372912102,0.628478547,0.353994697,0.642821657,0.458482195,0.675100895,0.372621739,0.472298572,0.571975406
Moore,0.423133668,0.367637363,0.312141058,0.550136598,0.362278245,0.540186308,0.297161221,0.548463846,0.419211721
Morris,0.412176106,0.599013785,0.319671221,0.571197933,0.383680749,0.627215344,0.607251046,0.587286749,0.516519424
Motley,0.630151844,0.559544948,0.488938053,0.674778761,0.592017738,0.742574257,0.474017744,0.762135922,0.634117647
Nacogdoches,0.428504891,0.663740779,0.405438495,0.700234331,0.409591219,0.708411406,0.388937324,0.659495934,0.591027803
Navarro,0.391859509,0.556713842,0.388771112,0.573968031,0.362065145,0.577673167,0.353811856,0.591090497,0.506536291
Newton,0.348707712,0.593859468,0.313801245,0.572559653,0.375434271,0.708132239,0.324478178,0.586622004,0.509568602
Nolan,0.356556982,0.537894843,0.336706434,0.557620818,0.396587031,0.548626934,0.314596237,0.554590145,0.469554228
Nueces,0.351079762,0.52241122,0.340699751,0.523403784,0.327137958,0.523520721,0.305166416,0.52415138,0.461231504
Ochiltree,0.415806891,0.379264017,0.342721142,0.609310548,0.378162981,0.598166235,0.305938697,0.571968266,0.466936572
Oldham,0.407216495,0.390265929,0.373315364,0.631506849,0.486768802,0.651651652,0.416728349,0.681560284,0.598828697
Orange,0.341278322,0.579861487,0.33300595,0.568778298,0.386882666,0.630067533,0.341698804,0.608528519,0.497363366
Palo Pinto,0.364706558,0.37233465,0.379962743,0.568551867,0.380200012,0.555981369,0.335269612,0.590672687,0.531019037
Panola,0.390810599,0.635894495,0.355762173,0.616895281,0.412033801,0.666775223,0.366899176,0.640907978,0.537472447
Pecos,0.500061418,0.564742785,0.530025134,0.495307483,0.404881639,0.557008852,0.377941176,0.513956905,0.437507651
Polk,0.293611004,0.494468816,0.309775962,0.525698804,0.340159272,0.52399552,0.282735052,0.519656434,0.444969883
Potter,0.324918892,0.316275776,0.30763266,0.53184736,0.302656905,0.525610236,0.262831925,0.527899572,0.445204858
Presidio,0.322089947,0.352564103,0.351713913,0.350863724,0.240338164,0.361668941,0.198375213,0.421546155,0.343672966
Rains,0.487688098,0.641423358,0.437653563,0.629514044,0.397863623,0.61197641,0.631497137,0.651017865,0.57970824
Randall,0.427648859,0.420894075,0.41413929,0.66915268,0.40073496,0.658732547,0.354223807,0.649974757,0.557165028
Reagan,0.417368421,0.602782071,0.554025255,0.50526844,0.286173633,0.496840896,0.291267606,0.492868463,0.457065217
Real,0.442902458,0.633552377,0.641448938,0.649345498,0.505070994,0.650252525,0.43442623,0.675386445,0.609860248
Red River,0.413452493,0.646433632,0.417797335,0.63086587,0.398278263,0.674516511,0.654183571,0.63385063,0.537647488
Reeves,0.339384373,0.470378985,0.473509418,0.476639851,0.304050834,0.457756563,0.186689055,0.457476767,0.342448286
Refugio,0.343334531,0.595127009,0.599494564,0.603862119,0.330275229,0.541452823,0.428118184,0.593479969,0.507707911
Roberts,0.517902813,0.468190537,0.418478261,0.715469613,0.517241379,0.770614693,0.519174041,0.789400279,0.672364672
Robertson,0.484106305,0.568561592,0.429182749,0.544947904,0.436484361,0.656511189,0.449771288,0.618252934,0.546089506
Rockwall,0.438469366,0.673529875,0.391942489,0.710598754,0.410722468,0.771273736,0.736169932,0.701066128,0.616418291
Runnels,0.420228523,0.562360491,0.567776112,0.573191734,0.385834788,0.558210318,0.356785444,0.56650689,0.496322978
Rusk,0.361017381,0.584280303,0.378303065,0.595249331,0.39557377,0.620951686,0.349594835,0.614947483,0.526888295
Sabine,0.369658957,0.62184652,0.420781335,0.68258191,0.452355883,0.619369674,0.371259895,0.602698845,0.512377514
San Augustine,0.457639826,0.570029674,0.36746715,0.568390453,0.401823613,0.613976705,0.441705854,0.579126214,0.504417403
San Jacinto,0.391683478,0.508035991,0.407593694,0.566313666,0.46456896,0.615209414,0.398934883,0.461054992,0.523175101
San Saba,0.478401728,0.649249732,0.654680673,0.660111613,0.480676329,0.604626429,0.389606893,0.624205508,0.556507766
Schleicher,0.439739414,0.696842105,0.669603319,0.642364532,0.432326622,0.587861272,0.470459519,0.58004386,0.541902605
Scurry,0.337068416,0.52198108,0.53737121,0.552761341,0.362817019,0.556993692,0.309381663,0.563475327,0.472201312
Shackelford,0.436099585,0.617873029,0.37744902,0.607961399,0.455291577,0.592367736,0.352356247,0.653350515,0.55920484
Shelby,0.431308867,0.618760249,0.406040268,0.617961749,0.409177685,0.662002998,0.38583379,0.602662098,0.497833793
Sherman,0.525798526,0.484204858,0.442611191,0.685483871,0.458448753,0.718088737,0.394477318,0.615942029,0.540380827
Smith,0.440903534,0.640952381,0.365083227,0.615960599,0.425926843,0.672449519,0.388451941,0.630348123,0.573201066
Somervell,0.474817378,0.623211169,0.445678584,0.600952543,0.484110169,0.64240334,0.387990365,0.647498754,0.59457725
Starr,0.231794797,0.350373227,0.353787961,0.357202695,0.128083557,0.398378539,0.179293013,0.37051743,0.360407631
Stephens,0.503768414,0.605961967,0.364746346,0.610459096,0.435088955,0.62674504,0.348853868,0.603315881,0.535810933
Sterling,0.454367026,0.638429752,0.661203826,0.683977901,0.444444444,0.571600481,0.545670225,0.677005348,0.561142857
Stonewall,0.509966777,0.498573132,0.487179487,0.685557587,0.550964187,0.658959538,0.384387352,0.70240481,0.644723093
Sutton,0.401532567,0.564398308,0.555278918,0.546159527,0.460071514,0.604679306,0.301924619,0.564325178,0.490665584
Swisher,0.428968806,0.381050304,0.333131802,0.549686079,0.363338022,0.555691255,0.355285541,0.543419434,0.48906409
Tarrant,0.389346731,0.613636661,0.351349393,0.651106687,0.371330502,0.674742636,0.372654003,0.620548107,0.555013143
Taylor,0.374837889,0.593885875,0.35232144,0.605990581,0.355810351,0.601022528,0.313413557,0.596353736,0.516062996
Terrell,0.551378446,0.605867347,0.616411411,0.626955475,0.648888889,0.67967853,0.51459854,0.627142857,0.707670043
Throckmorton,0.523229246,0.462839113,0.40244898,0.678802589,0.591020408,0.636150235,0.412808642,0.656910569,0.583947584
Titus,0.379793951,0.573560768,0.377199247,0.587220326,0.390748518,0.570837107,0.56907211,0.567307113,0.471860451
Tom Green,0.384526828,0.577119619,0.590413042,0.603706465,0.362391609,0.61292961,0.300223467,0.596044235,0.521182621
Travis,0.388172556,0.608100877,0.403255379,0.650480927,0.394180174,0.644492472,0.410355725,0.645069221,0.616424283
Trinity,0.393725565,0.55409396,0.385350893,0.583355373,0.411692416,0.541836823,0.352706862,0.403502554,0.454298246
Tyler,0.36002133,0.585624305,0.394736842,0.591659233,0.429265284,0.608754049,0.363416843,0.599451608,0.524701749
Upshur,0.396102502,0.578420907,0.391963056,0.575396524,0.374876773,0.580503792,0.336945402,0.583413935,0.514928366
Upton,0.406137184,0.563229118,0.556534173,0.549839228,0.391058824,0.632,0.306215722,0.601158645,0.488174078
Uvalde,0.375906404,0.52046855,0.526262054,0.532055559,0.375919568,0.533624344,0.319727474,0.540640028,0.470398404
Val Verde,0.306535026,0.448590038,0.448200154,0.44781027,0.259602219,0.454901084,0.26878187,0.503302415,0.417871457
Van Zandt,0.416263221,0.58834888,0.377951077,0.604544784,0.390562854,0.586798114,0.347809711,0.606855844,0.485359265
Victoria,0.349793865,0.349539048,0.349284231,0.362679524,0.376074817,0.580413584,0.330699861,0.577467114,0.495247769
Walker,0.36782464,0.598541123,0.379372228,0.616569458,0.443682275,0.645121449,0.378691391,0.457712797,0.536734203
Waller,0.352428608,0.495111557,0.309033098,0.52421508,0.337580442,0.56919284,0.305286696,0.549034724,0.510839526
Washington,0.492985052,0.628812082,0.45179431,0.66093592,0.483190206,0.657608943,0.407307537,0.65368022,0.587422582
Webb,0.423944099,0.432937444,0.440510767,0.44808409,0.274619927,0.474058848,0.236453881,0.466572169,0.377827587
Wharton,0.416369488,0.387000968,0.357632449,0.380497748,0.403363047,0.588196341,0.34064286,0.590048804,0.519726586
Wheeler,0.417576703,0.396666306,0.37575591,0.591890469,0.437288136,0.625433526,0.389528193,0.663357913,0.541752729
Wichita,0.334964525,0.342343519,0.349722513,0.546376191,0.321529906,0.575033718,0.294609138,0.494626816,0.423829524
Wilbarger,0.354831253,0.373082911,0.391334569,0.537425507,0.344648167,0.534652202,0.345950704,0.508422096,0.427846535
Willacy,0.333516534,0.442602496,0.189172032,0.434740202,0.22695099,0.463234632,0.193735398,0.418041447,0.354937525
Williamson,0.414437857,0.641856008,0.404846514,0.685803071,0.425615958,0.676675027,0.383118217,0.68579519,0.625693697
Wilson,0.425729258,0.649605958,0.631484352,0.613362746,0.422373918,0.637143597,0.361651243,0.624090749,0.544488141
Wise,0.374913484,0.594704022,0.364474564,0.574473413,0.35993228,0.60361494,0.350832829,0.643702549,0.561450832
Wood,0.52462279,0.697741962,0.448162782,0.658130412,0.459585397,0.664261155,0.409335792,0.643068049,0.566354764
Young,0.457058824,0.63691184,0.509468474,0.630874223,0.479008824,0.665484529,0.464062366,0.671711589,0.546743653
Zapata,0.379004077,0.423797177,0.410237689,0.396678201,0.170324362,0.496930004,0.158764271,0.417789405,0.294203282
Zavala,0.319148936,0.424902153,0.451828547,0.478754941,0.301875523,0.431388758,0.170310175,0.394094397,0.35808986
